epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.475,1.21132,2.17744,1.3446,0.9641,0.53813,0.91799,0.68653,0.81546,2.63538,0.88296,0.000541775,0.000541775,0.000541775
2,556.929,0.86318,1.27235,1.07324,0.88824,0.82645,0.93745,0.76729,0.80025,1.91585,0.86211,0.00107571,0.00107571,0.00107571
3,823.945,0.85414,1.12286,1.06733,0.96229,0.9585,0.99025,0.82105,0.81473,1.14394,0.8762,0.00158765,0.00158765,0.00158765
4,1089.24,0.84651,1.00478,1.05608,0.88941,0.9102,0.95623,0.74324,0.8966,1.16477,0.92669,0.00156798,0.00156798,0.00156798
5,1364.52,0.80215,0.8582,1.03583,0.83245,0.91359,0.98722,0.82148,0.68835,1.11436,0.77613,0.00153497,0.00153497,0.00153497
6,1637.29,0.77662,0.75768,1.01348,0.88146,0.96287,0.98786,0.81101,0.81914,0.84674,0.84785,0.00150197,0.00150197,0.00150197
7,1901.33,0.76962,0.74068,1.00733,0.97876,0.99036,0.98858,0.83434,0.67857,0.65987,0.75859,0.00146896,0.00146896,0.00146896
8,2161.23,0.79532,0.69209,1.02205,0.97157,0.97448,0.99037,0.82311,0.73647,0.98887,0.80332,0.00143595,0.00143595,0.00143595
9,2420.18,0.7225,0.5773,0.98324,0.99152,0.99558,0.98806,0.83373,0.65015,0.5247,0.74998,0.00140295,0.00140295,0.00140295
10,2680.84,0.7329,0.56357,0.97871,0.96452,0.95513,0.9833,0.85433,0.61702,0.53828,0.72417,0.00136994,0.00136994,0.00136994
11,2940.49,0.74502,0.55335,0.9884,0.98977,0.99558,0.99388,0.84178,0.72554,0.49785,0.81178,0.00133693,0.00133693,0.00133693
12,3201.28,0.72471,0.54788,0.98354,0.98643,0.99508,0.99381,0.85774,0.63072,0.44568,0.72996,0.00130393,0.00130393,0.00130393
13,3460.62,0.73364,0.53732,0.99397,0.96187,0.9672,0.99304,0.85727,0.64219,0.45162,0.75092,0.00127092,0.00127092,0.00127092
14,3721.14,0.70528,0.49488,0.96747,0.99085,0.99558,0.99269,0.84916,0.68145,0.43135,0.7615,0.00123791,0.00123791,0.00123791
15,3979.93,0.71777,0.47472,0.96938,0.98832,0.99522,0.99388,0.85635,0.6411,0.40918,0.74351,0.00120491,0.00120491,0.00120491
16,4239.67,0.69971,0.48683,0.97676,0.99064,0.99558,0.99299,0.87374,0.591,0.37243,0.72064,0.0011719,0.0011719,0.0011719
17,4500.12,0.69811,0.47811,0.97565,0.99169,0.99558,0.9941,0.86083,0.59486,0.35055,0.71649,0.00113889,0.00113889,0.00113889
